"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","1,1","3.3","1.55","1.96","0.34","97.16","62.99"
"2","1,2","3.27","1.59","1.98","0.35","97.05","60.39"
"3","1,3","3.26","1.58","1.98","0.35","97.05","60.39"
"4","1,4","3.26","1.58","1.98","0.35","97.04","60.39"
"5","1,5","3.26","1.58","1.98","0.35","97.05","60.39"
"6","1,6","3.27","1.58","1.98","0.35","97.05","61.69"
"7","1,7","3.28","1.57","1.98","0.35","97.06","61.69"
"8","1,8","3.27","1.58","1.98","0.35","97.05","61.69"
"9","1,9","3.26","1.58","1.98","0.35","97.04","60.39"
"10","1,10","2.85","1.51","1.86","0.34","97.54","65.58"
"11","2,1","2.09","1.25","1.58","0.28","98.02","77.27"
"12","2,2","2.21","1.34","1.72","0.3","97.34","75.97"
"13","2,3","2.08","1.25","1.58","0.28","98.26","79.22"
"14","2,4","1.56","1.12","1.44","0.25","98.48","81.17"
"15","2,5","1.7","1.11","1.45","0.25","98.17","77.92"
"16","2,6","1.64","1.15","1.5","0.26","97.37","79.87"
"17","2,7","1.96","1.19","1.5","0.27","98.01","77.27"
"18","2,8","1.55","1.18","1.51","0.26","98.14","77.27"
"19","2,9","1.69","1.21","1.54","0.27","97.83","75.97"
"20","2,10","1.87","1.19","1.51","0.27","98.37","78.57"
"21","3,1","1.36","1","1.31","0.22","98.56","82.47"
"22","3,2","1.48","1.08","1.38","0.24","98.38","79.87"
"23","3,3","1.54","1.09","1.39","0.24","98.94","79.22"
"24","3,4","1.5","1.1","1.41","0.24","98.76","79.22"
"25","3,5","1.41","1.03","1.35","0.23","98.32","78.57"
"26","3,6","1.4","1.02","1.34","0.23","98.16","81.17"
"27","3,7","1.5","1.07","1.47","0.24","98.62","81.17"
"28","3,8","1.57","1.1","1.4","0.24","98.91","80.52"
"29","3,9","1.63","1.07","1.37","0.24","98.62","79.87"
"30","3,10","1.73","1.12","1.49","0.25","97.91","78.57"
"31","4,1","1.44","0.98","1.28","0.22","97.98","84.42"
"32","4,2","1.23","0.97","1.31","0.21","98.92","82.47"
"33","4,3","1.13","0.95","1.25","0.21","98.17","85.71"
"34","4,4","1.29","0.99","1.32","0.22","98.79","82.47"
"35","4,5","1.15","0.89","1.21","0.2","98.57","86.36"
"36","4,6","1.22","0.94","1.27","0.21","98.77","83.77"
"37","4,7","1.21","1.03","1.34","0.23","98.56","81.82"
"38","4,8","1","0.99","1.32","0.22","98.23","83.77"
"39","4,9","1.39","1.02","1.32","0.23","98.47","83.12"
"40","4,10","1.52","1.09","1.39","0.24","99.58","80.52"
"41","5,1","1.1","0.87","1.21","0.19","98.76","87.01"
"42","5,2","1.13","1","1.35","0.22","98.5","83.77"
"43","5,3","1","0.89","1.19","0.2","98.94","84.42"
"44","5,4","1.22","1.03","1.34","0.23","98.65","83.12"
"45","5,5","0.97","0.98","1.44","0.22","97.48","83.77"
"46","5,6","1.06","1","1.32","0.22","98.9","86.36"
"47","5,7","1.23","0.98","1.28","0.22","98.69","85.71"
"48","5,8","1.01","0.91","1.21","0.2","98.41","87.01"
"49","5,9","0.79","0.83","1.11","0.18","98.94","87.01"
"50","5,10","0.97","0.94","1.3","0.21","98.39","87.01"
"51","6,1","0.88","0.96","1.26","0.21","98.43","84.42"
