"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","0.95","0.87","1.1","0.22","99.09","83.77"
"2","5,6","0.87","0.79","1","0.2","99.5","90.91"
"3","5,7","1.1","0.9","1.15","0.23","99.45","80.52"
"4","5,8","1.06","0.84","1.09","0.22","99.16","86.36"
"5","5,9","0.78","0.8","1.02","0.21","99.19","89.61"
"6","5,10","0.84","0.81","1.04","0.21","99.38","87.01"
"7","5,11","0.99","0.84","1.05","0.21","98.93","87.66"
"8","5,12","0.9","0.83","1.07","0.21","98.47","87.66"
"9","5,13","0.9","0.83","1.09","0.21","99.05","87.01"
"10","5,14","0.91","0.81","1.03","0.21","99.46","88.31"
"11","5,15","1.02","0.81","1.06","0.21","99.37","85.71"
"12","6,5","0.85","0.8","1.02","0.21","99.58","87.66"
"13","6,6","0.88","0.78","1.03","0.2","99.2","88.96"
"14","6,7","0.97","0.84","1.07","0.21","99.39","85.71"
"15","6,8","0.89","0.8","1.03","0.21","98.85","85.06"
"16","6,9","0.84","0.85","1.06","0.22","99.01","87.01"
"17","6,10","0.67","0.72","0.9","0.19","99.3","90.26"
"18","6,11","0.88","0.77","1","0.2","99.39","89.61"
"19","6,12","1.13","0.93","1.15","0.24","98.65","84.42"
"20","6,13","1.03","0.89","1.11","0.23","98.89","87.01"
"21","6,14","1.03","0.85","1.06","0.22","98.93","86.36"
"22","6,15","0.82","0.8","1.01","0.21","99.17","88.31"
"23","7,5","0.79","0.77","1.03","0.2","99.43","88.31"
"24","7,6","0.69","0.88","1.22","0.23","98.92","86.36"
"25","7,7","0.58","0.8","1.08","0.21","99.32","89.61"
"26","7,8","0.62","0.8","1.12","0.21","98.78","88.96"
"27","7,9","0.64","0.79","1.1","0.2","98.64","87.66"
"28","7,10","0.82","0.78","0.98","0.2","99.02","89.61"
"29","7,11","0.9","0.84","1.07","0.22","99.3","86.36"
"30","7,12","0.71","0.78","1","0.2","99.19","90.26"
"31","7,13","0.69","0.78","1","0.2","98.84","90.26"
"32","7,14","0.79","0.8","1.04","0.2","99.1","89.61"
"33","7,15","0.73","0.74","0.98","0.19","99.78","90.26"
"34","8,5","0.75","0.73","0.93","0.19","99.91","89.61"
"35","8,6","0.93","0.83","1.09","0.21","99.05","87.01"
"36","8,7","0.8","0.93","2.12","0.24","99.36","88.96"
"37","8,8","0.72","0.76","1.05","0.19","99.7","89.61"
"38","8,9","0.68","0.81","1.05","0.21","99.35","88.31"
"39","8,10","0.72","0.77","0.98","0.2","99.13","88.31"
"40","8,11","0.57","0.81","1.03","0.21","99.36","88.96"
"41","8,12","0.69","0.76","1","0.19","98.82","90.91"
"42","8,13","0.66","0.77","1.05","0.2","99.36","88.96"
"43","8,14","0.65","0.85","1.11","0.22","99.56","88.31"
"44","8,15","0.64","0.7","1.05","0.18","99.87","91.56"
"45","9,5","0.69","0.72","0.92","0.18","99.9","92.86"
"46","9,6","0.67","0.82","1.03","0.21","99.38","87.66"
"47","9,7","0.63","0.8","1.07","0.21","99.47","88.96"
"48","9,8","0.69","0.73","0.97","0.19","99.33","92.21"
"49","9,9","0.65","0.74","0.95","0.19","99.35","90.26"
"50","9,10","0.58","0.74","0.99","0.19","99.47","92.21"
"51","9,11","0.43","0.67","0.91","0.17","99.27","89.61"
"52","9,12","0.61","0.71","0.93","0.18","99.5","91.56"
"53","9,13","0.54","0.77","1.19","0.2","99.41","90.91"
"54","9,14","0.82","0.79","1.04","0.2","99.05","87.01"
"55","9,15","0.48","0.76","1.03","0.2","99.01","89.61"
"56","10,5","0.7","0.77","1.08","0.2","99","91.56"
"57","10,6","0.46","0.71","0.93","0.18","98.94","90.91"
"58","10,7","0.37","0.73","1","0.19","99.5","89.61"
"59","10,8","0.52","0.77","1.02","0.2","99.06","88.96"
"60","10,9","0.65","0.75","1","0.19","99.31","86.36"
"61","10,10","0.44","0.7","1.06","0.18","99.72","89.61"
"62","10,11","0.56","0.86","1.75","0.22","99.92","90.26"
"63","10,12","0.59","0.77","1.02","0.2","99.65","90.91"
"64","10,13","0.52","0.77","1.06","0.2","99.2","88.96"
"65","10,14","0.66","0.72","0.95","0.18","98.94","92.21"
"66","10,15","0.48","0.7","0.97","0.18","99.69","93.51"
"67","11,5","0.68","0.86","1.14","0.22","98.72","85.71"
"68","11,6","0.43","0.79","1.17","0.2","99.4","87.66"
"69","11,7","0.51","0.82","1.02","0.21","99.19","90.91"
"70","11,8","0.5","0.74","1.05","0.19","99.97","89.61"
"71","11,9","0.5","0.78","1.17","0.2","99.74","88.31"
"72","11,10","0.48","0.8","1.17","0.21","98.3","87.01"
"73","11,11","0.38","0.86","1.23","0.22","99.66","85.06"
"74","11,12","0.67","0.84","1.14","0.22","99.06","85.71"
"75","11,13","0.44","0.74","1.11","0.19","99.99","89.61"
"76","11,14","0.64","0.71","0.97","0.18","99.46","89.61"
"77","11,15","0.52","0.72","0.98","0.18","99.12","88.96"
"78","12,5","0.43","0.7","0.95","0.18","99.26","90.26"
"79","12,6","0.58","0.67","0.87","0.17","99.47","92.86"
"80","12,7","0.41","0.83","1.25","0.21","99.33","85.06"
"81","12,8","0.33","0.71","1","0.18","99.56","88.31"
"82","12,9","0.43","0.74","1","0.19","99.94","90.91"
"83","12,10","0.58","0.7","0.92","0.18","98.92","92.86"
"84","12,11","0.35","0.64","0.84","0.16","99.58","89.61"
"85","12,12","0.36","0.74","0.96","0.19","99.46","88.31"
"86","12,13","0.65","0.79","1.25","0.2","99.5","88.96"
"87","12,14","0.54","0.71","1.05","0.18","99.55","90.26"
"88","12,15","0.65","0.77","0.99","0.2","98.97","89.61"
"89","13,5","0.35","0.74","0.97","0.19","99.38","91.56"
"90","13,6","0.49","0.73","0.93","0.19","99.4","89.61"
"91","13,7","0.59","0.71","0.94","0.18","99.22","90.26"
"92","13,8","0.43","0.63","0.87","0.16","99.53","92.21"
"93","13,9","0.27","0.86","1.25","0.22","99.57","85.71"
"94","13,10","0.31","0.72","1","0.18","99.38","88.31"
"95","13,11","0.34","0.73","1.03","0.19","99.82","85.71"
"96","13,12","0.44","0.85","1.78","0.22","99.96","89.61"
"97","13,13","0.62","0.74","0.95","0.19","99.11","91.56"
"98","13,14","0.46","1.34","8.24","0.34","96.94","90.26"
"99","13,15","0.4","0.75","1.05","0.19","98.97","90.91"
"100","14,5","0.6","0.74","0.95","0.19","99.44","90.26"
"101","14,6","0.54","0.64","0.83","0.17","99.21","92.86"
"102","14,7","0.4","0.77","1.22","0.2","99.45","89.61"
"103","14,8","0.31","0.74","1.05","0.19","99.23","89.61"
"104","14,9","0.49","0.75","1.11","0.19","98.82","90.91"
"105","14,10","0.4","0.59","0.82","0.15","99.98","90.91"
"106","14,11","0.31","0.77","1.29","0.2","99.58","86.36"
"107","14,12","0.67","0.75","0.98","0.19","99.09","90.26"
"108","14,13","0.5","0.69","0.93","0.18","98.92","89.61"
"109","14,14","0.21","0.82","1.17","0.21","99.53","84.42"
"110","14,15","0.55","0.76","0.99","0.19","99.74","90.91"
"111","15,5","0.4","0.73","1.08","0.19","98.98","92.21"
"112","15,6","0.46","0.83","1.18","0.21","98.99","88.96"
"113","15,7","0.38","0.66","0.94","0.17","99.5","93.51"
"114","15,8","2.77","1.3","1.67","0.33","97.77","73.38"
"115","15,9","0.3","0.79","1.13","0.2","99.37","87.01"
"116","15,10","0.29","0.72","1.03","0.18","99.52","87.01"
