"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.09","0.93","1.34","0.21","98.41","81.82"
"2","5,6","0.94","0.86","1.33","0.19","97.48","82.47"
"3","5,7","0.9","0.89","1.27","0.2","98.06","84.42"
"4","5,8","1.11","0.93","1.35","0.21","98.53","83.12"
"5","5,9","1.16","0.93","1.31","0.21","98.25","80.52"
"6","5,10","0.98","0.96","1.36","0.22","98.63","79.22"
"7","5,11","1.03","0.88","1.26","0.2","98.6","85.06"
"8","5,12","1.09","0.93","1.34","0.21","98.18","79.22"
"9","5,13","0.98","0.94","1.35","0.22","98.58","82.47"
"10","5,14","1.25","0.99","1.39","0.23","97.79","79.87"
"11","5,15","1.04","0.91","1.3","0.21","98.48","81.82"
"12","6,5","0.98","0.92","1.29","0.21","98.78","83.12"
"13","6,6","1.04","0.9","1.33","0.2","98.76","83.12"
"14","6,7","0.98","0.84","1.26","0.19","98.44","83.77"
"15","6,8","0.71","0.87","1.36","0.2","98.19","82.47"
"16","6,9","0.9","0.88","1.26","0.2","98.65","85.71"
"17","6,10","0.76","0.81","1.21","0.18","98.44","82.47"
"18","6,11","0.76","0.86","1.35","0.19","98.65","84.42"
"19","6,12","0.89","0.89","1.36","0.2","97.95","81.17"
"20","6,13","0.91","0.91","1.34","0.21","98.71","79.87"
"21","6,14","0.77","0.92","1.34","0.21","98.61","83.77"
"22","6,15","1.05","0.94","1.28","0.21","98.14","82.47"
"23","7,5","0.78","1.05","1.5","0.24","98.37","79.87"
"24","7,6","0.83","0.86","1.23","0.2","98.27","83.77"
"25","7,7","0.64","0.9","1.38","0.2","98.55","87.01"
"26","7,8","0.92","0.99","1.39","0.22","98.49","79.87"
"27","7,9","0.66","0.88","1.37","0.2","98.76","83.77"
"28","7,10","1","0.86","1.28","0.2","98.38","85.06"
"29","7,11","0.71","0.85","1.26","0.19","98.13","82.47"
"30","7,12","0.79","0.92","1.39","0.21","98.08","83.12"
"31","7,13","0.62","0.83","1.21","0.19","98.32","86.36"
"32","7,14","0.69","0.95","1.37","0.22","98.63","80.52"
