"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.31","0.96","1.23","0.22","97.91","81.17"
"2","5,6","1.21","0.91","1.18","0.2","98.66","83.12"
"3","5,7","2.96","1.36","1.81","0.31","97.67","63.64"
"4","5,8","1.2","0.88","1.13","0.2","98.68","83.12"
"5","5,9","1.23","0.88","1.17","0.2","98.45","81.82"
"6","5,10","1.32","0.87","1.14","0.2","98.24","85.06"
"7","5,11","1.31","0.94","1.25","0.21","98.31","81.82"
"8","5,12","1.12","1.04","1.42","0.23","98.59","77.92"
"9","5,13","0.91","0.9","1.17","0.2","98.59","79.22"
"10","5,14","1.22","0.95","1.26","0.21","98.89","79.87"
"11","5,15","1.25","0.95","1.24","0.21","98.59","80.52"
"12","6,5","1.01","0.91","1.21","0.21","98.36","81.17"
"13","6,6","1.14","0.93","1.38","0.21","98.51","83.77"
"14","6,7","1.04","0.81","1.09","0.18","98.46","84.42"
"15","6,8","1.01","0.88","1.15","0.2","98.66","81.82"
"16","6,9","1.1","0.85","1.13","0.19","97.62","85.71"
"17","6,10","1.11","0.93","1.28","0.21","98.98","82.47"
"18","6,11","1.1","0.87","1.21","0.2","98.4","84.42"
"19","6,12","0.98","0.9","1.26","0.2","98.65","81.17"
"20","6,13","0.91","0.83","1.06","0.19","98.15","82.47"
"21","6,14","0.71","1.04","2","0.23","99.03","79.22"
"22","6,15","1.07","0.88","1.11","0.2","98.19","81.17"
"23","7,5","0.85","1.03","1.39","0.23","99","81.17"
"24","7,6","1.14","0.91","1.21","0.21","97.95","81.82"
"25","7,7","1","0.92","1.46","0.21","99.19","84.42"
"26","7,8","1.01","0.9","1.2","0.2","98.43","84.42"
"27","7,9","1.11","0.94","1.23","0.21","98.36","80.52"
"28","7,10","0.87","0.9","1.22","0.2","98.72","81.17"
"29","7,11","1.02","0.85","1.12","0.19","98.24","81.17"
"30","7,12","0.61","0.88","1.29","0.2","98.87","84.42"
"31","7,13","2.97","1.36","1.82","0.31","97.61","64.94"
"32","7,14","1.02","0.81","1.07","0.18","98.55","83.12"
