"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.29","0.95","1.22","0.19","97.31","79.87"
"2","5,6","1.41","1","1.29","0.2","98.11","79.22"
"3","5,7","1.02","1.04","1.51","0.21","97.82","83.12"
"4","5,8","1.29","0.95","1.22","0.2","97.44","78.57"
"5","5,9","1.36","1.05","1.4","0.21","96.95","76.62"
"6","5,10","1.32","1.03","1.34","0.21","97.5","80.52"
"7","5,11","1","1.07","1.46","0.22","97.3","77.92"
"8","5,12","1.48","1","1.25","0.2","97.45","81.82"
"9","5,13","1.3","0.94","1.22","0.19","97.73","84.42"
"10","5,14","1.36","0.99","1.27","0.2","97.76","79.87"
"11","5,15","1.23","1","1.25","0.2","97.33","77.92"
"12","6,5","1.02","0.99","1.34","0.2","98.62","82.47"
"13","6,6","1.15","0.91","1.19","0.19","97.63","80.52"
"14","6,7","1.14","1","1.33","0.2","98.59","79.87"
"15","6,8","1.15","0.92","1.19","0.19","98.11","84.42"
"16","6,9","1.26","1","1.31","0.21","97.3","80.52"
"17","6,10","0.99","0.99","1.35","0.2","97.94","75.97"
"18","6,11","1.05","0.94","1.21","0.19","97.55","78.57"
"19","6,12","1.08","1","1.28","0.2","97.49","78.57"
"20","6,13","1.19","0.92","1.24","0.19","97.92","84.42"
"21","6,14","1.14","0.92","1.22","0.19","98.87","81.82"
"22","6,15","1.19","1.03","1.35","0.21","97.5","79.87"
"23","7,5","0.7","0.96","1.39","0.2","97.96","83.12"
"24","7,6","0.88","1.03","1.31","0.21","98.16","80.52"
"25","7,7","0.79","0.85","1.1","0.17","98.15","84.42"
"26","7,8","0.93","1.01","1.47","0.21","96.9","80.52"
"27","7,9","0.97","1","1.28","0.21","97.53","79.22"
"28","7,10","0.93","0.86","1.23","0.18","98.41","85.06"
"29","7,11","1.01","0.93","1.24","0.19","98.22","85.06"
"30","7,12","0.93","0.89","1.23","0.18","98.45","84.42"
"31","7,13","1.01","0.9","1.22","0.18","97.47","79.87"
"32","7,14","1.12","0.92","1.22","0.19","98.02","82.47"
"33","7,15","1.03","0.96","1.35","0.2","98.08","79.87"
"34","8,5","0.9","0.86","1.18","0.18","98.38","81.17"
"35","8,6","0.83","0.95","1.34","0.19","97.45","79.22"
"36","8,7","0.73","0.97","1.34","0.2","98.54","77.92"
"37","8,8","0.81","0.88","1.19","0.18","99.07","83.77"
"38","8,9","0.98","0.82","1.1","0.17","97.75","85.06"
"39","8,10","0.75","0.96","1.37","0.2","97.15","78.57"
"40","8,11","0.72","0.94","1.42","0.19","98.88","81.82"
"41","8,12","0.94","0.85","1.1","0.17","98.16","83.77"
"42","8,13","0.63","0.97","1.33","0.2","98.15","77.92"
"43","8,14","0.73","0.98","1.33","0.2","99.02","81.17"
"44","8,15","0.9","0.88","1.14","0.18","98.54","82.47"
"45","9,5","0.73","0.89","1.23","0.18","97.97","83.77"
"46","9,6","0.79","1","1.44","0.2","97.54","81.82"
"47","9,7","0.77","0.87","1.16","0.18","97.66","82.47"
"48","9,8","0.61","0.86","1.2","0.18","98.2","82.47"
