"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"1","5,5","1.04","1.33","0.89","1.15","0.2","99.44","88.31","0.8925"
"2","5,6","0.99","1.6","0.92","1.26","0.21","99.55","86.36","0.9975"
"3","5,7","1","1.32","0.88","1.15","0.2","99.32","82.47","0.8875"
"4","5,8","0.96","1.41","0.92","1.19","0.21","99.06","86.36","0.9325"
"5","5,9","1.05","1.54","0.94","1.24","0.21","99.12","84.42","0.9825"
"6","5,10","1.11","1.77","0.99","1.33","0.22","99.16","85.06","1.0775"
"7","5,11","1.06","1.27","0.88","1.13","0.2","99.48","85.71","0.87"
"8","5,12","1.06","1.5","0.92","1.23","0.21","99.41","83.12","0.965"
"9","5,13","0.95","1.44","0.91","1.2","0.2","99.19","85.06","0.9375"
"10","5,14","0.97","1.56","0.94","1.25","0.21","99.93","85.06","0.99"
"11","5,15","1.18","1.71","0.99","1.31","0.22","98.3","83.77","1.0575"
"12","6,5","0.73","0.96","0.76","0.98","0.17","99.17","90.26","0.7175"
"13","6,6","0.91","1.44","0.92","1.2","0.21","99.58","85.71","0.9425"
"14","6,7","0.91","1.31","0.89","1.14","0.2","98.98","85.06","0.885"
"15","6,8","0.83","1.39","0.9","1.18","0.2","99.51","86.36","0.9175"
"16","6,9","0.91","1.37","0.88","1.17","0.2","99.22","86.36","0.905"
"17","6,10","0.84","1.23","0.86","1.11","0.19","99.59","87.66","0.8475"
"18","6,11","0.91","1.23","0.83","1.11","0.19","99.36","90.91","0.84"
"19","6,12","0.89","1.1","0.8","1.05","0.18","99.47","89.61","0.7825"
"20","6,13","0.96","1.4","0.9","1.18","0.2","99.6","86.36","0.92"
"21","6,14","0.9","1.46","0.9","1.21","0.2","99.61","85.06","0.9425"
"22","6,15","0.9","1.24","0.88","1.11","0.2","99.61","87.01","0.8575"
"23","7,5","0.69","1.22","0.83","1.1","0.19","99.44","88.31","0.835"
"24","7,6","0.82","1.56","0.91","1.25","0.2","99.56","87.01","0.98"
"25","7,7","0.92","1.42","0.88","1.19","0.2","99.38","86.36","0.9225"
"26","7,8","1.04","1.99","1.01","1.41","0.22","99.52","85.71","1.1575"
"27","7,9","0.68","1.25","0.84","1.12","0.19","99.95","87.01","0.85"
"28","7,10","0.81","1.36","0.89","1.17","0.2","99.91","85.71","0.905"
