"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.1","1.16","1.59","0.23","98.49","79.22"
"2","5,6","1.33","1.25","1.85","0.25","99.51","79.87"
"3","5,7","1.29","1.17","1.61","0.23","98.52","81.17"
"4","5,8","1.65","1.28","1.75","0.25","99.11","81.17"
"5","5,9","1.23","1.14","1.59","0.22","98.8","79.22"
"6","5,10","1.22","1.22","1.69","0.24","98.69","79.22"
"7","5,11","1.59","1.3","1.79","0.26","99.65","77.92"
"8","5,12","1.26","1.23","1.69","0.24","99.87","81.17"
"9","5,13","1.5","1.2","1.67","0.24","97.93","78.57"
"10","5,14","1.35","1.14","1.59","0.22","99.42","82.47"
"11","5,15","1.57","1.22","1.62","0.24","98.51","79.87"
"12","6,5","1.24","1.35","1.81","0.27","98.77","74.68"
"13","6,6","1.47","1.32","1.79","0.26","99.21","77.92"
"14","6,7","1.38","1.22","1.66","0.24","98.34","80.52"
"15","6,8","1.2","1.11","1.52","0.22","98.68","83.12"
"16","6,9","1.06","1.16","1.65","0.23","98.7","80.52"
"17","6,10","0.99","1.21","1.66","0.24","99.71","80.52"
"18","6,11","1.12","1.14","1.65","0.22","98.3","83.12"
"19","6,12","1.2","1.24","1.74","0.24","97.68","79.87"
"20","6,13","0.69","1.06","1.5","0.21","99","83.12"
"21","6,14","1.02","1.27","1.94","0.25","99.05","81.17"
"22","6,15","0.95","1.05","1.57","0.21","99.03","82.47"
"23","7,5","1.06","1.19","1.67","0.23","99.07","80.52"
"24","7,6","1.02","1.25","1.71","0.25","98.62","79.22"
"25","7,7","1.18","1.21","1.65","0.24","98.84","78.57"
"26","7,8","1","1.1","1.47","0.22","98.61","85.06"
"27","7,9","1.03","1.14","1.55","0.22","98.72","79.87"
"28","7,10","1.07","1.13","1.56","0.22","99.53","79.22"
"29","7,11","0.8","1.12","1.61","0.22","99.82","79.87"
"30","7,12","0.96","1.04","1.44","0.2","98.68","85.71"
"31","7,13","1.03","1.04","1.46","0.21","99.42","83.77"
"32","7,14","1.01","1.04","1.49","0.2","99.03","83.77"
"33","7,15","1.15","1.19","1.65","0.23","99.05","79.87"
"34","8,5","0.79","0.96","1.27","0.19","99.44","83.77"
"35","8,6","0.99","1.09","1.62","0.21","99.56","83.77"
"36","8,7","1.05","1.17","1.61","0.23","98.9","81.17"
"37","8,8","0.89","1.17","1.66","0.23","99.13","81.82"
"38","8,9","1","1.12","1.66","0.22","99.61","82.47"
"39","8,10","0.94","1.02","1.44","0.2","99.47","84.42"
"40","8,11","1.05","1.03","1.52","0.2","99.39","85.06"
"41","8,12","0.96","1.1","1.57","0.22","98.93","84.42"
"42","8,13","0.89","1.14","1.63","0.22","99.36","79.22"
"43","8,14","0.85","1.07","1.54","0.21","98.97","85.71"
"44","8,15","0.84","1.1","1.51","0.22","98.86","83.77"
"45","9,5","0.84","1.09","1.48","0.21","98.73","80.52"
"46","9,6","0.99","1.16","1.61","0.23","98.61","81.17"
"47","9,7","0.88","1.17","1.57","0.23","98.58","79.22"
"48","9,8","0.67","1.02","1.56","0.2","99.12","81.82"
"49","9,9","0.72","1.06","1.49","0.21","98.96","87.01"
"50","9,10","0.83","1.06","1.51","0.21","98.48","83.77"
"51","9,11","0.75","1.19","1.6","0.23","99.31","79.87"
"52","9,12","0.86","1.07","1.5","0.21","99.25","80.52"
"53","9,13","0.78","1.11","1.56","0.22","98.46","82.47"
"54","9,14","0.75","1.12","1.68","0.22","99.61","81.17"
"55","9,15","0.65","1.1","1.54","0.22","98.55","80.52"
"56","10,5","0.99","1.03","1.41","0.2","98.73","81.82"
"57","10,6","0.61","0.91","1.24","0.18","99.12","88.31"
"58","10,7","0.67","0.98","1.43","0.19","99.3","85.06"
"59","10,8","0.78","0.95","1.38","0.19","99.63","87.01"
"60","10,9","0.45","1.01","1.39","0.2","99.14","84.42"
"61","10,10","0.62","1.02","1.44","0.2","99.64","86.36"
"62","10,11","0.74","1.2","1.61","0.23","98.39","79.87"
"63","10,12","0.75","1.14","1.56","0.22","98.83","82.47"
"64","10,13","0.79","1.13","1.65","0.22","98.9","83.12"
"65","10,14","0.88","1.02","1.43","0.2","99.61","82.47"
"66","10,15","0.91","1.05","1.46","0.21","98.8","83.77"
"67","11,5","0.8","1.07","1.52","0.21","98.8","80.52"
"68","11,6","0.67","1.05","1.53","0.21","98.48","84.42"
"69","11,7","0.49","0.9","1.29","0.18","99.51","87.01"
"70","11,8","0.69","1.02","1.43","0.2","99.15","83.77"
"71","11,9","0.67","1.11","1.69","0.22","99.52","83.12"
"72","11,10","0.62","0.94","1.42","0.18","99.16","85.06"
"73","11,11","0.4","1.07","1.6","0.21","98.65","81.82"
"74","11,12","0.7","1.14","1.73","0.22","98.5","81.17"
"75","11,13","0.62","1.08","1.52","0.21","99.71","83.77"
"76","11,14","0.61","1.12","1.59","0.22","99.17","84.42"
"77","11,15","0.59","1.1","1.52","0.22","99.08","81.82"
"78","12,5","0.59","1.01","1.37","0.2","99.3","85.06"
"79","12,6","0.62","0.99","1.39","0.19","99.08","84.42"
"80","12,7","0.61","0.99","1.35","0.2","99.41","86.36"
"81","12,8","0.85","1.03","1.51","0.2","99.23","82.47"
"82","12,9","0.72","0.96","1.4","0.19","99.37","86.36"
"83","12,10","0.74","1.08","1.5","0.21","99.15","81.17"
"84","12,11","0.51","0.95","1.35","0.19","99.57","83.77"
"85","12,12","0.5","1.08","1.54","0.21","98.94","81.17"
"86","12,13","0.59","0.94","1.32","0.18","99.25","85.06"
"87","12,14","0.58","1.04","1.47","0.2","99.48","85.71"
"88","12,15","0.45","1.09","1.66","0.21","99.02","82.47"
"89","13,5","0.73","1","1.42","0.2","98.84","84.42"
"90","13,6","0.47","1.09","1.52","0.21","99","79.87"
"91","13,7","0.61","1.03","1.48","0.2","99.61","84.42"
"92","13,8","0.54","1.07","1.47","0.21","99.32","84.42"
"93","13,9","0.57","0.93","1.35","0.18","99.04","89.61"
"94","13,10","0.45","1","1.4","0.2","98.87","85.71"
"95","13,11","0.65","1.01","1.39","0.2","98.98","82.47"
"96","13,12","0.49","0.98","1.48","0.19","98.51","84.42"
"97","13,13","0.45","0.95","1.31","0.19","98.94","84.42"
"98","13,14","0.63","1.05","1.51","0.21","98.5","79.87"
"99","13,15","0.48","1.08","1.49","0.21","99.77","83.12"
"100","14,5","0.58","0.93","1.33","0.18","99.08","86.36"
"101","14,6","0.41","0.97","1.25","0.19","99.58","84.42"
"102","14,7","0.54","0.97","1.36","0.19","98.74","86.36"
"103","14,8","0.65","0.96","1.36","0.19","99.03","83.77"
"104","14,9","0.47","1.07","1.49","0.21","99.25","83.77"
"105","14,10","0.64","1.03","1.47","0.2","98.89","83.12"
"106","14,11","0.45","1","1.33","0.2","99.35","87.01"
"107","14,12","0.5","1.04","1.52","0.2","98.71","85.06"
"108","14,13","0.5","0.99","1.39","0.19","99.32","81.82"
"109","14,14","0.52","0.94","1.46","0.18","98.85","86.36"
"110","14,15","0.6","1.01","1.47","0.2","99.07","82.47"
"111","15,5","0.27","0.88","1.25","0.17","98.73","87.66"
"112","15,6","0.52","1.05","1.52","0.21","98.91","83.12"
"113","15,7","0.45","0.99","1.34","0.19","98.89","84.42"
"114","15,8","0.54","1","1.41","0.2","99.25","85.06"
"115","15,9","0.62","1","1.43","0.2","99.26","81.17"
"116","15,10","0.32","0.99","1.45","0.2","99.06","81.17"
"117","15,11","0.37","1.05","1.52","0.21","98.44","85.06"
"118","15,12","0.25","1.11","1.65","0.22","99.84","79.87"
"119","15,13","0.4","1.08","1.52","0.21","99.72","80.52"
"120","15,14","0.3","0.94","1.33","0.18","99.01","83.77"
"121","15,15","0.74","1.02","1.45","0.2","98.98","84.42"
