"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"1","5,5","0.94","1.44","0.89","1.2","0.21","99.77","78.57","0.935"
"2","5,6","1.21","1.43","0.92","1.2","0.22","99.7","82.47","0.9425"
"3","5,7","1.11","1.7","0.98","1.3","0.23","99.62","79.87","1.0525"
"4","5,8","1.03","1.55","0.93","1.24","0.22","99.89","81.82","0.985"
"5","5,9","1.27","1.62","0.96","1.27","0.23","99.56","79.22","1.02"
"6","5,10","1.15","1.6","0.9","1.26","0.22","99.38","81.82","0.995"
"7","5,11","0.89","1.53","0.87","1.24","0.21","98.9","80.52","0.9625"
"8","5,12","1.13","1.3","0.89","1.14","0.21","99.39","85.06","0.885"
"9","5,13","1.15","1.43","0.89","1.19","0.21","99.93","85.06","0.93"
"10","5,14","1.07","1.4","0.9","1.18","0.22","99.34","83.77","0.925"
"11","5,15","1.1","1.8","0.99","1.34","0.24","99.43","79.22","1.0925"
"12","6,5","0.97","1.72","0.93","1.31","0.22","99.62","85.71","1.045"
"13","6,6","0.91","1.67","0.89","1.29","0.21","99.67","85.06","1.015"
"14","6,7","1.13","1.47","0.9","1.21","0.22","99.12","83.12","0.95"
"15","6,8","0.87","1.52","0.94","1.23","0.22","99.44","83.12","0.9775"
"16","6,9","0.91","1.36","0.86","1.17","0.21","99.91","82.47","0.9"
"17","6,10","1.1","1.84","0.98","1.36","0.23","99.93","80.52","1.1025"
"18","6,11","1","1.57","0.94","1.25","0.22","99.49","83.77","0.995"
"19","6,12","0.85","1.74","0.92","1.32","0.22","99.77","82.47","1.05"
"20","6,13","0.87","1.57","0.9","1.25","0.22","98.82","83.12","0.985"
"21","6,14","0.94","1.94","0.99","1.39","0.24","99.65","83.12","1.14"
"22","6,15","1.02","1.83","0.96","1.35","0.23","99.06","81.82","1.0925"
"23","7,5","0.77","1.5","0.86","1.23","0.21","99.67","83.77","0.95"
"24","7,6","1.03","1.94","0.98","1.39","0.24","99.77","80.52","1.1375"
"25","7,7","0.93","1.36","0.83","1.16","0.2","99.36","87.01","0.8875"
"26","7,8","0.93","1.67","0.95","1.29","0.23","99.96","80.52","1.035"
"27","7,9","0.75","1.73","0.86","1.31","0.21","99.78","85.06","1.0275"
"28","7,10","1.04","1.37","0.88","1.17","0.21","99.98","83.77","0.9075"
"29","7,11","0.78","1.59","0.9","1.26","0.22","99.37","83.12","0.9925"
"30","7,12","0.75","1.84","0.92","1.36","0.22","99.62","84.42","1.085"
"31","7,13","0.87","1.19","0.8","1.09","0.19","99.46","87.01","0.8175"
"32","7,14","0.68","1.68","0.89","1.3","0.21","98.99","83.12","1.02"
"33","7,15","0.94","1.66","0.92","1.29","0.22","99.58","83.77","1.0225"
"34","8,5","0.78","1.52","0.85","1.23","0.2","99.57","84.42","0.95"
"35","8,6","0.61","1.23","0.82","1.11","0.2","99.69","84.42","0.84"
"36","8,7","0.72","1.49","0.88","1.22","0.21","99.23","85.06","0.95"
"37","8,8","0.83","1.4","0.84","1.18","0.2","99.38","88.31","0.905"
"38","8,9","0.89","1.51","0.88","1.23","0.21","99.27","84.42","0.9575"
"39","8,10","1.06","1.5","0.86","1.22","0.2","99.61","87.01","0.945"
"40","8,11","0.99","1.69","0.91","1.3","0.22","99.7","83.12","1.03"
"41","8,12","0.67","1.39","0.85","1.18","0.2","99.14","84.42","0.905"
"42","8,13","0.91","1.56","0.89","1.25","0.21","99.75","81.82","0.9775"
"43","8,14","0.85","1.95","0.93","1.4","0.22","99.65","79.22","1.125"
"44","8,15","0.88","1.5","0.84","1.22","0.2","99.2","82.47","0.94"
"45","9,5","0.66","1.41","0.87","1.19","0.21","99.72","85.06","0.92"
"46","9,6","0.8","1.21","0.79","1.1","0.19","99.16","87.66","0.8225"
"47","9,7","0.9","1.66","0.91","1.29","0.22","99.42","83.12","1.02"
"48","9,8","0.71","1.28","0.78","1.13","0.19","99.9","88.31","0.845"
"49","9,9","0.8","1.53","0.88","1.24","0.21","99.96","84.42","0.965"
