Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos
0,0,0.002988048,0.011952191,0.017928287,0.121513944,0,0.460159363,0.002988048,0,0.173306773,0.000996016,0,0,0.028884462,0,0,0,0.013944223,0.000996016,0.005976096,0.016932271,0.002988048,0,0,0.128486056,0.00996016
0,0,0.001996008,0.001996008,0,0.05988024,0,0.196606786,0.01996008,0,0.437125749,0.001996008,0,0,0,0,0,0,0.001996008,0,0,0.010978044,0.146706587,0,0,0.120758483,0
0.003835091,0,0.015340364,0,0.076701822,0.310642378,0,0.029721956,0,0.003835091,0.083413231,0,0.025886865,0,0.279961649,0.007670182,0.03451582,0,0.003835091,0,0.023010547,0.007670182,0,0,0.003835091,0.04506232,0.04506232
0.002973241,0,0.002973241,0,0.026759167,0.474727453,0,0.32011893,0.020812686,0,0.053518335,0,0.008919722,0,0.011892963,0,0,0,0.017839445,0.005946482,0.002973241,0,0,0,0,0.041625372,0.008919722
0,0.006822612,0,0.006822612,0.010721248,0.247563353,0,0.261208577,0.010721248,0,0.140350877,0,0,0,0.085769981,0.003898635,0.036062378,0,0.029239766,0,0.009746589,0.006822612,0.003898635,0,0,0.111111111,0.029239766
0.004892368,0.009784736,0.006849315,0.007827789,0.074363992,0.15851272,0,0.042074364,0.000978474,0,0.119373777,0.009784736,0.007827789,0,0.313111546,0.009784736,0.026418787,0,0.012720157,0,0.022504892,0.019569472,0.000978474,0,0,0.097847358,0.05479452
0.003968254,0.001984127,0.008928571,0.008928571,0.075396825,0.196428571,0,0.071428571,0.003968254,0,0.151785714,0.034722222,0.003968254,0,0.250992063,0,0.009920635,0,0.003968254,0,0.011904762,0.003968254,0.001984127,0,0,0.141865079,0.013888888
0,0.000998004,0.000998004,0.015968064,0.010978044,0.123752495,0,0.408183633,0.003992016,0,0.246506986,0.000998004,0,0,0.007984032,0,0,0,0.006986028,0.000998004,0.002994012,0.013972056,0.022954092,0,0,0.131736527,0
0,0,0,0.022022022,0.007007007,0.093093093,0,0.386386386,0.004004004,0,0.263263263,0,0,0,0.004004004,0,0,0,0.004004004,0.003003003,0.003003003,0.016016016,0.048048048,0,0,0.14014014,0.006006006
0,0,0.002997003,0.005994006,0,0.107892108,0,0.435564436,0.002997003,0,0.223776224,0,0,0,0,0,0,0,0.002997003,0,0.002997003,0.021978022,0.067932068,0,0,0.117882118,0.006993007
