Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos,RES_Annual_0m,RES_Annual_50m,RES_Annual_75m,RES_Annual_100m,RES_Annual_0-75m,RES_Annual_0-100m,RES_Annual_0-200m,RES_jan-mar_0m,RES_jan-mar_50m,RES_jan-mar_75m,RES_jan-mar_100m,RES_jan-mar_0-75m,RES_jan-mar_0-100m,RES_jan-mar_0-200m,RES_jul-sep_0m,RES_jul-sep_50m,RES_jul-sep_75m,RES_jul-sep_100m,RES_jul-sep_0-75m,RES_jul-sep_0-100m,RES_jul-sep_0-200m
0,0,0.002988048,0.011952191,0.017928287,0.121513944,0,0.460159363,0.002988048,0,0.173306773,0.000996016,0,0,0.028884462,0,0,0,0.013944223,0.000996016,0.005976096,0.016932271,0.002988048,0,0,0.128486056,0.00996016,14.5168,13.228,12.4903,12.1577,13.6236,13.2586,12.8555,12.1131,12.0305,12.0061,11.9832,12.004,11.996,11.975,17.6406,14.1559,12.6133,12.1459,15.3426,14.4749,13.64
0,0,0.001996008,0.001996008,0,0.05988024,0,0.196606786,0.01996008,0,0.437125749,0.001996008,0,0,0,0,0,0,0.001996008,0,0,0.010978044,0.146706587,0,0,0.120758483,0,10.3871,9.60834,9.08362,8.75292,8.87011,8.56404,8.14765,8.40232,8.34666,8.30925,8.25654,7.19969,7.16292,7.07578,13.0752,10.8431,9.5301,9.00405,10.6602,9.91672,9.10184
0.003835091,0,0.015340364,0,0.076701822,0.310642378,0,0.029721956,0,0.003835091,0.083413231,0,0.025886865,0,0.279961649,0.007670182,0.03451582,0,0.003835091,0,0.023010547,0.007670182,0,0,0.003835091,0.04506232,0.04506232,21.3246,20.2524,19.2852,18.5818,20.5357,20.1291,19.5561,19.1104,18.9935,18.9526,18.8175,18.9709,18.9548,18.7903,23.7772,21.0556,19.318,18.4491,21.8323,21.0188,20.1235
0.002973241,0,0.002973241,0,0.026759167,0.474727453,0,0.32011893,0.020812686,0,0.053518335,0,0.008919722,0,0.011892963,0,0,0,0.017839445,0.005946482,0.002973241,0,0,0,0,0.041625372,0.008919722,17.3205,15.9303,14.9024,14.3577,16.3581,15.8768,15.2777,14.7679,14.6062,14.5324,14.4236,14.5028,14.469,14.346,20.2717,16.8586,14.93,14.2478,18.0911,17.0853,16.0419
0,0.006822612,0,0.006822612,0.010721248,0.247563353,0,0.261208577,0.010721248,0,0.140350877,0,0,0,0.085769981,0.003898635,0.036062378,0,0.029239766,0,0.009746589,0.006822612,0.003898635,0,0,0.111111111,0.029239766,17.6315,16.2725,15.2304,14.6658,16.7368,16.25,15.6356,15.1054,14.9405,14.8673,14.7454,14.8203,14.7857,14.657,20.4994,17.2055,15.2599,14.5543,18.4861,17.4905,16.4343
0.004892368,0.009784736,0.006849315,0.007827789,0.074363992,0.15851272,0,0.042074364,0.000978474,0,0.119373777,0.009784736,0.007827789,0,0.313111546,0.009784736,0.026418787,0,0.012720157,0,0.022504892,0.019569472,0.000978474,0,0,0.097847358,0.05479452,21.1896,20.0282,19.0567,18.3561,20.4519,20.0212,19.4246,18.8677,18.7452,18.7003,18.5685,18.7972,18.7808,18.607,23.831,20.832,19.0856,18.2231,21.9566,21.0688,20.0937
0.003968254,0.001984127,0.008928571,0.008928571,0.075396825,0.196428571,0,0.071428571,0.003968254,0,0.151785714,0.034722222,0.003968254,0,0.250992063,0,0.009920635,0,0.003968254,0,0.011904762,0.003968254,0.001984127,0,0,0.141865079,0.013888888,21.174,20.0094,19.0375,18.3375,20.3965,19.9629,19.3621,18.8492,18.7266,18.6816,18.5495,18.7182,18.7031,18.529,23.8204,20.8124,19.0656,18.2045,21.9678,21.0691,20.0754
0,0.000998004,0.000998004,0.015968064,0.010978044,0.123752495,0,0.408183633,0.003992016,0,0.246506986,0.000998004,0,0,0.007984032,0,0,0,0.006986028,0.000998004,0.002994012,0.013972056,0.022954092,0,0,0.131736527,0,13.4064,12.3576,11.773,11.5146,12.7353,12.4501,12.1339,11.2963,11.2495,11.2307,11.2195,11.3191,11.3155,11.3069,16.2499,13.3178,11.9938,11.5948,14.3592,13.6338,12.9266
0,0,0,0.022022022,0.007007007,0.093093093,0,0.386386386,0.004004004,0,0.263263263,0,0,0,0.004004004,0,0,0,0.004004004,0.003003003,0.003003003,0.016016016,0.048048048,0,0,0.14014014,0.006006006,13.2387,12.1873,11.6194,11.3706,12.6198,12.3371,12.0219,11.1371,11.0952,11.0807,11.0736,11.2118,11.2071,11.1956,16.0767,13.1404,11.8414,11.4515,14.2484,13.5283,12.8235
0,0,0.002997003,0.005994006,0,0.107892108,0,0.435564436,0.002997003,0,0.223776224,0,0,0,0,0,0,0,0.002997003,0,0.002997003,0.021978022,0.067932068,0,0,0.117882118,0.006993007,12.9744,11.9453,11.4075,11.1746,12.385,12.1094,11.8011,10.9148,10.8792,10.8682,10.8656,10.9757,10.97,10.9523,15.7743,12.8961,11.6427,11.2679,14.0054,13.2963,12.6042
0,0,0,0.016032064,0.003006012,0.102204409,0,0.393787575,0.001002004,0,0.22745491,0.001002004,0,0,0.001002004,0,0,0,0.003006012,0.00501002,0,0.016032064,0.06012024,0,0,0.166332665,0.004008016,12.9741,11.9437,11.4059,11.1732,12.385,12.1094,11.8011,10.9133,10.8779,10.867,10.8646,10.9757,10.97,10.9523,15.7754,12.8938,11.6406,11.2662,14.0054,13.2963,12.6042
0,0,0,0.017982018,0.005994006,0.128871129,0,0.362637363,0.008991009,0,0.206793207,0,0,0,0.001998002,0,0,0,0.007992008,0.002997003,0.002997003,0.008991009,0.082917083,0,0,0.155844156,0.004995005,12.8001,11.8079,11.2887,11.063,12.1613,11.8925,11.5923,10.7897,10.7552,10.7426,10.7401,10.7462,10.7366,10.7202,15.5518,12.7688,11.5402,11.1705,13.7763,13.0764,12.3913
0.006835938,0.005859375,0.001953125,0,0.052734375,0.185546875,0,0.048828125,0.005859375,0,0.129882813,0.005859375,0.005859375,0,0.3828125,0.005859375,0.03125,0,0.00390625,0.00390625,0.009765625,0.005859375,0,0,0.001953125,0.078125,0.027343751,21.2162,20.0589,19.0883,18.3865,20.4519,20.0212,19.4246,18.8978,18.7752,18.7303,18.599,18.7972,18.7808,18.607,23.8521,20.8645,19.1185,18.2533,21.9566,21.0688,20.0937
0,0.010956175,0.010956175,0.013944223,0.045816733,0.150398406,0,0.045816733,0.003984064,0,0.104581673,0.003984064,0.020916335,0,0.380478088,0.003984064,0.041832669,0,0.003984064,0,0.003984064,0.010956175,0,0,0,0.118525896,0.024900398,20.976,19.7535,18.7749,18.0804,20.2347,19.8058,19.2081,18.5935,18.4675,18.4194,18.2827,18.5036,18.4915,18.3252,23.7206,20.5473,18.7935,17.9464,21.921,21.0162,20.0062
0,0.012695313,0.008789063,0.0078125,0.041015625,0.120117188,0,0.04296875,0.001953125,0.001953125,0.122070313,0.008789063,0.024414063,0,0.376953125,0.0078125,0.02734375,0,0.00390625,0,0.005859375,0.012695313,0,0,0,0.129882813,0.042968751,20.976,19.7535,18.7749,18.0804,20.2347,19.8058,19.2081,18.5935,18.4675,18.4194,18.2827,18.5036,18.4915,18.3252,23.7206,20.5473,18.7935,17.9464,21.921,21.0162,20.0062
0.006903353,0.01183432,0.003944773,0,0.068047337,0.235700197,0,0.103550296,0.00295858,0,0.129191321,0,0.010848126,0,0.255424063,0.010848126,0.042406312,0,0.003944773,0,0.015779093,0.004930966,0,0,0,0.054240631,0.039447732,20.8052,19.54,18.5561,17.8662,20.1504,19.7188,19.1153,18.3834,18.255,18.2042,18.0618,18.3473,18.3349,18.1808,23.6148,20.3234,18.5649,17.7294,21.9099,20.9878,19.9521
0.002,0,0.004,0.017,0.016,0.068,0.002,0.546,0.015,0,0.144,0,0,0,0.012,0,0,0,0.004,0,0,0,0.002,0,0,0.163,0.005,13.8123,12.7043,12.076,11.7981,13.0319,12.7307,12.3981,11.6273,11.5683,11.5469,11.5313,11.5505,11.5402,11.532,16.7326,13.6507,12.2706,11.857,14.7478,13.9934,13.253
0,0.004028197,0.007049345,0,0.062437059,0.180261833,0,0.007049345,0,0,0.088620342,0,0.055387714,0.004028197,0.47734139,0.007049345,0.01510574,0,0,0,0.004028197,0.007049345,0,0,0,0.062437059,0.018126888,21.2637,20.1143,19.145,18.4412,20.4934,20.0595,19.4583,18.952,18.8294,18.7846,18.6541,18.8464,18.8297,18.6559,23.8882,20.9227,19.1772,18.3075,22.0126,21.1169,20.1297
0,0,0.002,0.017,0.021,0.142,0,0.362,0.023,0,0.241,0.002,0,0,0.026,0,0,0,0.013,0,0.009,0.004,0.001,0,0,0.119,0.018,14.5092,13.221,12.4843,12.1521,13.6206,13.255,12.851,12.1063,12.024,11.9998,11.9771,11.998,11.9902,11.969,17.6322,14.1491,12.6077,12.1406,15.3479,14.4774,13.64
0,0.009018036,0,0.022044088,0.01002004,0.116232465,0.006012024,0.534068136,0.009018036,0,0.148296593,0.006012024,0,0,0.007014028,0,0,0,0.007014028,0,0.001002004,0.016032064,0.001002004,0,0,0.098196393,0.009018036,13.4582,12.4278,11.8428,11.5835,12.8025,12.5183,12.2021,11.3629,11.3154,11.2935,11.2803,11.3712,11.3651,11.3541,16.285,13.3955,12.0727,11.6728,14.4376,13.714,13.0073
0,0.001001001,0,0.015015015,0.019019019,0.09009009,0,0.459459459,0.005005005,0,0.206206206,0.005005005,0,0,0.018018018,0,0,0,0.024024024,0,0.012012012,0.014014014,0,0,0,0.126126126,0.005005005,14.6913,13.3539,12.5898,12.2415,13.752,13.3654,12.9439,12.2298,12.1439,12.1172,12.092,12.0775,12.0643,12.0423,17.8516,14.2801,12.6967,12.2107,15.5612,14.6384,13.7586
0.000996016,0.000996016,0.007968128,0,0.018924303,0.194223108,0,0.025896414,0.000996016,0.000996016,0.053784861,0,0.016932271,0,0.488047809,0.020916335,0.035856574,0.000996016,0.000996016,0,0.016932271,0.014940239,0,0,0.007968127,0.037848606,0.053784861,22.0093,21.1437,20.1877,19.4419,21.4628,21.1029,20.4869,20.0292,19.9147,19.8702,19.7057,20.0287,20.0108,19.7714,24.051,21.9645,20.2411,19.3036,22.7792,22.0502,21.0956
0.003933137,0.019665683,0.013765978,0.032448378,0.081612586,0.09439528,0,0.066863324,0.000983284,0,0.197640118,0.01179941,0.006882989,0.000983284,0.142576205,0.021632252,0.036381514,0,0.007866273,0.000983284,0.028515241,0.007866273,0.003933137,0,0,0.179941003,0.039331367,19.059,17.7246,16.6931,16.0517,18.1883,17.6876,16.9991,16.5606,16.4111,16.3282,16.1568,16.5314,16.4771,16.2214,21.9444,18.541,16.6936,15.9236,19.897,18.8647,17.7306
